"iso3c","year","Top10share","Top1share"
"BFA",2014,0.4642646088,0.1430082748
"BFA",2015,0.4642646088,0.1430082748
"BFA",2016,0.4642646088,0.1430082748
"BFA",2017,0.4642646088,0.1430082748
"BGR",1960,NA,NA
"BGR",1961,NA,NA
"BGR",1962,NA,NA
"BGR",1963,NA,NA
"BGR",1964,NA,NA
"BGR",1965,NA,NA
"BGR",1966,NA,NA
"BGR",1967,NA,NA
"BGR",1968,NA,NA
"BGR",1969,NA,NA
"BGR",1970,NA,NA
"BGR",1971,NA,NA
"BGR",1972,NA,NA
"BGR",1973,NA,NA
"BGR",1974,NA,NA
"BGR",1975,NA,NA
"BGR",1976,NA,NA
"BGR",1977,NA,NA
"BGR",1978,NA,NA
"BGR",1979,NA,NA
"BGR",1980,0.1805,0.0244
"BGR",1981,0.18269999,0.025900001
"BGR",1982,0.2049,0.036899999
"BGR",1983,0.20739999,0.038899999
"BGR",1984,0.19859999,0.0348
"BGR",1985,0.186,0.028999999
"BGR",1986,0.1735,0.0233
"BGR",1987,0.1577,0.019400001
"BGR",1988,0.1515,0.0174
"BGR",1989,0.193,0.033500001
"BGR",1990,0.21510001,0.0418
"BGR",1991,0.23819999,0.052499998
"BGR",1992,0.25729999,0.0594
"BGR",1993,0.27000001,0.064199999
"BGR",1994,0.28099999,0.071099997
"BGR",1995,0.29249999,0.0722
"BGR",1996,0.28760001,0.073799998
"BGR",1997,0.31110001,0.092
"BGR",1998,0.31150001,0.093699999
"BGR",1999,0.28479999,0.074199997
"BGR",2000,0.28709999,0.078599997
"BGR",2001,0.2938,0.081200004
"BGR",2002,0.30250001,0.085299999
"BGR",2003,0.29350001,0.0801
"BGR",2004,0.29409999,0.079300001
"BGR",2005,0.29589999,0.080300003
"BGR",2006,0.294,0.075400002
"BGR",2007,0.2911,0.078100003
"BGR",2008,0.30450001,0.075199999
"BGR",2009,0.28659999,0.0678
"BGR",2010,0.287,0.076099999
"BGR",2011,0.30109999,0.079599999
"BGR",2012,0.2899,0.078000002
"BGR",2013,0.29499999,0.079599999
"BGR",2014,0.29949999,0.079999998
"BGR",2015,0.31470001,0.086499996
"BGR",2016,0.31760001,0.0836
"BGR",2017,NA,NA
"BHR",1960,NA,NA
"BHR",1961,NA,NA
"BHR",1962,NA,NA
"BHR",1963,NA,NA
"BHR",1964,NA,NA
"BHR",1965,NA,NA
"BHR",1966,NA,NA
"BHR",1967,NA,NA
"BHR",1968,NA,NA
"BHR",1969,NA,NA
"BHR",1970,NA,NA
"BHR",1971,NA,NA
"BHR",1972,NA,NA
"BHR",1973,NA,NA
"BHR",1974,NA,NA
"BHR",1975,NA,NA
"BHR",1976,NA,NA
"BHR",1977,NA,NA
"BHR",1978,NA,NA
"BHR",1979,NA,NA
"BHR",1980,NA,NA
"BHR",1981,NA,NA
"BHR",1982,NA,NA
"BHR",1983,NA,NA
"BHR",1984,NA,NA
"BHR",1985,NA,NA
"BHR",1986,NA,NA
"BHR",1987,NA,NA
"BHR",1988,NA,NA
"BHR",1989,NA,NA
"BHR",1990,0.53380001,0.18520001
"BHR",1991,0.53380001,0.18520001
"BHR",1992,0.53380001,0.18520001
"BHR",1993,0.53380001,0.18520001
