"year","EducIndex","iso3c"
1995,0.424,"EGY"
1995,0.432,"SLV"
1995,NA,"GNQ"
1995,NA,"ERI"
1995,0.707,"EST"
1995,0.408,"SWZ"
1995,NA,"ETH"
1995,0.682,"FJI"
1995,0.741,"FIN"
1995,0.729,"FRA"
1995,0.509,"GAB"
1995,0.21,"GMB"
1995,NA,"GEO"
1995,0.759,"DEU"
1995,0.402,"GHA"
1995,0.627,"GRC"
1995,NA,"GRD"
1995,0.311,"GTM"
1995,0.142,"GIN"
1995,NA,"GNB"
1995,0.533,"GUY"
1995,0.316,"HTI"
1995,0.381,"HND"
1995,0.665,"HKG"
1995,0.701,"HUN"
1995,0.738,"ISL"
1995,0.344,"IND"
1995,0.42,"IDN"
1995,0.483,"IRN"
1995,0.39,"IRQ"
1995,0.71,"IRL"
1995,0.763,"ISR"
1995,0.656,"ITA"
1995,0.534,"JAM"
1995,0.735,"JPN"
1995,0.644,"JOR"
1995,0.642,"KAZ"
1995,0.393,"KEN"
1995,NA,"KIR"
1995,0.737,"KOR"
1995,0.515,"KWT"
1995,0.597,"KGZ"
1995,0.309,"LAO"
1995,0.619,"LVA"
1995,NA,"LBN"
1995,0.43,"LSO"
1995,NA,"LBR"
1995,0.568,"LBY"
1995,NA,"LIE"
1995,0.661,"LTU"
1995,0.639,"LUX"
1995,NA,"MDG"
1995,0.385,"MWI"
1995,0.536,"MYS"
1995,0.354,"MDV"
1995,0.114,"MLI"
1995,0.622,"MLT"
1995,NA,"MHL"
1995,0.24,"MRT"
1995,0.52,"MUS"
1995,0.51,"MEX"
1995,NA,"FSM"
1995,0.593,"MDA"
1995,0.474,"MNG"
1995,NA,"MNE"
1995,0.295,"MAR"
1995,0.159,"MOZ"
1995,0.296,"MMR"
1995,0.528,"NAM"
1995,0.299,"NPL"
1995,0.815,"NLD"
1995,0.854,"NZL"
1995,0.398,"NIC"
1995,0.097,"NER"
1995,NA,"NGA"
1995,0.826,"NOR"
1995,NA,"OMN"
1995,0.232,"PAK"
1995,NA,"PLW"
1995,NA,"PSE"
1995,0.577,"PAN"
1995,0.241,"PNG"
1995,0.48,"PRY"
1995,0.581,"PER"
1995,0.536,"PHL"
1995,0.713,"POL"
1995,0.632,"PRT"
1995,0.562,"QAT"
1995,0.606,"ROU"
1995,0.662,"RUS"
1995,0.239,"RWA"
1995,NA,"KNA"
1995,NA,"LCA"
1995,NA,"VCT"
1995,0.604,"WSM"
1995,0.363,"STP"
