"year","iso3c","PrEdu","SecEdu","TerEdu"
2010,"LBY",20.43,15.99,11.89
2015,"LBY",21.3,15.8,16.2
1980,"LKA",26.56,24.81,0.42
1985,"LKA",22.98,29.36,1.56
1990,"LKA",19.88,35.16,3.15
1995,"LKA",14.78,40.97,5.25
2000,"LKA",8.8,48.1,7.65
2005,"LKA",10.43,35.67,8.6
2010,"LKA",11.39,17.89,8.51
2015,"LKA",7.5,21.4,8.5
1980,"LSO",10.9,8.42,0.19
1985,"LSO",11.91,11.46,0.29
1990,"LSO",14.95,14.87,0.39
1995,"LSO",16.17,19.52,0.54
2000,"LSO",17.81,24.5,0.62
2005,"LSO",18.06,33,0.64
2010,"LSO",22.71,13.18,0.76
2015,"LSO",24,18.1,0.7
1980,"LTU",20.61,31.36,5.39
1985,"LTU",15.69,37.81,6.67
1990,"LTU",12.44,44.88,6.41
1995,"LTU",10.46,47.24,7.75
2000,"LTU",10.82,49.1,8.58
2005,"LTU",11.43,49.2,13.51
2010,"LTU",8.85,51.25,15.6
2015,"LTU",3.4,56.2,18.2
1980,"LUX",36.53,19.1,5.34
1985,"LUX",33.3,21.37,5.96
1990,"LUX",30.05,24.18,7.03
1995,"LUX",27.62,25.66,8.3
2000,"LUX",23.21,28.34,9.35
2005,"LUX",19.48,28.47,13.29
2010,"LUX",15.71,27.58,18.54
2015,"LUX",10.7,32.9,15.8
1980,"LVA",31.4,16.31,6.05
1985,"LVA",29.53,19.54,7.2
1990,"LVA",27.7,23.3,7.01
1995,"LVA",16.81,31.45,8.36
2000,"LVA",13.06,35.47,7.73
2005,"LVA",4.34,41.09,9.76
2010,"LVA",3.35,41.6,12.42
2015,"LVA",1.3,40.5,16
1980,"MAC",34.42,7.86,1.93
1985,"MAC",33.06,9.58,2.71
1990,"MAC",30.41,11.01,3.3
1995,"MAC",28.32,14.25,4.98
2000,"MAC",26.1,19.4,5.61
2005,"MAC",20.85,25.99,6.9
2010,"MAC",16.16,32.11,10.43
2015,"MAC",13.6,35.8,12.4
1980,"MAR",5.79,3.84,0.7
1985,"MAR",8.17,4.79,2.21
1990,"MAR",11.47,5.91,2.98
1995,"MAR",14.48,7.17,3.69
2000,"MAR",16.87,8.46,4.07
2005,"MAR",19.55,10,4.67
2010,"MAR",21.69,12.13,5.35
2015,"MAR",28.3,14,6.5
1980,"MDV",11,28.14,0.18
1985,"MDV",12.06,29.88,0.23
1990,"MDV",13.06,21.89,0.26
1995,"MDV",13.94,14.33,0.25
2000,"MDV",16.01,9.59,0.16
2005,"MDV",17.83,5.49,0.26
2010,"MDV",17.91,11.38,0.25
2015,"MDV",14.6,10.7,0.2
1980,"MEX",18.89,8.12,3.36
1985,"MEX",19.43,10.98,3.58
1990,"MEX",19.26,13.39,3.87
1995,"MEX",20.22,15.7,5.12
2000,"MEX",19.13,16.63,6.84
2005,"MEX",16.52,19.79,8.41
2010,"MEX",16.11,19.41,9.81
2015,"MEX",13.8,23.9,12.1
1980,"MLI",3.25,0.69,0.16
1985,"MLI",3.63,0.9,0.23
1990,"MLI",4.51,0.98,0.27
1995,"MLI",5.29,1.11,0.33
2000,"MLI",5.99,1.51,0.5
2005,"MLI",7.36,2.79,0.68
