"iso3c","year","globFin","globRestrict","globSoc","globPol"
"AUT",2002,83.52082062,86.31999207,83.33057404,95.13027954
"AUT",2003,84.6102066,87.18499756,83.57794189,95.44714355
"AUT",2004,86.03141785,86.84911346,84.77156067,95.25228882
"AUT",2005,90.44148254,86.27147675,84.94155884,95.24900818
"AUT",2006,93.27980042,84.46626282,85.38375854,95.60997772
"AUT",2007,94.12525177,84.77488708,85.11675262,95.97225189
"AUT",2008,92.43170929,83.58634186,85.5986557,95.973526
"AUT",2009,91.60023499,82.6901474,86.090065,95.93756866
"AUT",2010,91.7440567,80.55964661,85.98686981,95.43156433
"AUT",2011,91.70721436,79.6606369,86.57643127,95.62195587
"AUT",2012,91.67868805,78.82845306,86.53039551,96.09539795
"AUT",2013,88.59203339,77.9745636,85.28492737,95.86846161
"AUT",2014,89.30806732,83.68515015,87.40785217,95.23517609
"AUT",2015,90.7436142,82.41317749,86.74973297,95.61636353
"AZE",1980,11.3370409,32.39966583,33.95478439,14.77569389
"AZE",1981,11.49684238,32.38858795,34.06734467,14.77491474
"AZE",1982,11.49470329,32.3461113,34.00495148,14.77513313
"AZE",1983,11.5084486,32.31309891,34.10938263,14.80451965
"AZE",1984,11.47737503,32.23224258,34.10361481,14.82460022
"AZE",1985,11.45989799,32.20932388,34.04669189,14.85818577
"AZE",1986,11.41851044,32.20415115,34.1036644,14.89134216
"AZE",1987,11.40390205,32.20882416,34.26938629,14.92273998
"AZE",1988,11.42369556,32.21121216,34.32261658,14.94283676
